Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","corne-logo-horizontal",-14.622000,0.755500,0.000000,top
"G***","LOGO","corne-logo-horizontal",166.158000,0.675500,0.000000,top
"J2","Conn_01x05","nice_view_1side",56.919000,14.517500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",-52.643250,-1.694500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",-14.655000,-1.694500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",-14.552000,59.715500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",23.418000,59.715500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",127.938000,59.705500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",165.958000,59.715500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",203.988000,-1.704500,0.000000,top
"J5","Breakaway_Tabs","Breakaway_Tabs",165.988000,-1.704500,0.000000,top
"J7","Conn_01x05","nice_view_1side",84.148000,14.375500,0.000000,top
"U1","ProMicro","ProMicro_v3",62.053000,35.125500,0.000000,top
"U2","ProMicro","ProMicro_v3",89.223347,34.999068,0.000000,top
